INDEX,ETITLE,ECLASS,QCODE,EROUND,LAYER1,LAYER2,LAYER3,QNUM,QTYPE,QUESTION,ANSWER,DIFFICULTY,CREATED_DATE,MODIFIED_DATE
1,보험중개사,손해보험,ABAA-01,20,관계법령,보험업법,,1,A,"보험업법의내용과관련하여타당하지않은것은? 
①보험자의 설명의무는 상법보험편에도 규정되어 있고, 보험업법에도 규정되어 있다. 
②보험업법에 규정된적합성의 원칙은모든보험의영역에 적용된다 . 
③보험상품에 대하여모집광고와 관련하여 준수해야 할 사항은보험업법에 규정되어 있다. 
④보험업법은 보험회사 또는보험을모집하는 자의중복 계약체결에대한확인의무를 규정하고 있다.",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
2,보험중개사,손해보험,ABAA-02,20,관계법령,,,2,A,"다음은보험업겸영에관한기술이다 .옳지않은것은? 
①생명보험회사는 재보험을 겸영할수없다 . 
②제3보험회사는 재보험을 겸영할수있다 . 
③생명보험회사는 손해보험을 겸영할수없다 . 
④손해보험종목 전부를취급하는 손해보험회사가 질병을 원인으로 하는사망을제3보험의특약형식으로 담보 하는보험은겸영할수있다.",1,,2025-08-23 21:17:14,2025-08-23 21:17:14
3,보험중개사,손해보험,ABAA-03,20,관계법령,,,3,A,"보험업의허가에관한설명으로옳지않은것은? 
①금융위원회는 허가에조건을붙일수있다 . 
②허가를받을수있는자는주식회사와 상호회사로 제한한다 . 
③본허가를 신청하려는 자는미리금융위원회에 예비허가를 신청할수있다 . 
④생명보험에 해당하는 보험종목 전부에관하여금융 위원회의 허가를받은자는간병보험에 대한허가를 받은것으로본다 .",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
4,보험중개사,손해보험,ABAA-04,20,관계법령,,,4,A,"다음은보험회사의내부통제기준에관한기술이다 .옳은 것은? 
①보험회사는 준법감시인을 1인이상두어야한다 . 
②보험회사는 준법감시인을 임면하려면 주주총회의 의결을 거쳐야한다. 
③준법감시인은 자산운용에 관한업무를하는직무를 담당할수있다 . 
④금융관계법령을위반하여 금융감독원장으로부터 경고를받은자도 3년이지나면준법감시인이 될수 있다 .",1,,2025-08-23 21:17:14,2025-08-23 21:17:14
5,보험중개사,손해보험,ABAA-05,20,관계법령,,,5,A,"다음은상호회사의기관에관한기술이다 .옳지않은것은? 
①상호회사는 사원총회를 갈음할기관을정관으로 정할수 있다. 
②상호회사의 사원은사원총회에서 보험료에 비례한의결권을 가진다 . 
③상호회사의 100분의 5이상의사원은사원총회의 소집을 청구할수있다 
④상호회사의 사원과채권자는 영업시간 중에는언제든지 이사회의사록을 열람할수있다.",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
6,보험중개사,손해보험,ABAA-06,20,관계법령,,,6,A,"상호회사설립시정관의절대적기재사항에해당하지 않는것은? 
①사무소소재지 
②잉여금의 분배방법 
③보험종목 
④사원의수",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
7,보험중개사,손해보험,ABAA-07,20,관계법령,,,7,A,"보험업법규정가운데외국보험회사국내지점에대해서도 적용되는것은? 
①상호또는명칭에관한규정 
②임원의겸직제한에 관한규정 
③사외이사와 감사위원회에 관한규정 
④제8장(해산·청산 )중총회의결의에관한규정",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
8,보험중개사,손해보험,ABAA-08,20,관계법령,,,8,A,"다음은보험회사의설명의무에관한기술이다 .옳지않은 것은? 
①보험회사는 일반보험계약자에게 보험계약 체결을권유 하는경우에는 보험료 ,보장범위 ,보험금지급제한 사유 등보험계약의 중요사항을 일반보험계약자가 이해할수 있도록설명해야 한다. 
②보험회사는 설명한내용을일반보험계약자가 이해하 였음을반드시서명의방법으로 확인받아야 한다 . 
③보험회사는 보험계약의 체결시부터보험금지급시 까지의 주요과정을일반보험계약자에게 설명하여야 한다. 
④보험회사는 일반보험계약자가 보험금지급을요청한 경우에는 보험금의 지급절차 및지급내역 등을설명 하여야한다 .손해보험중개사시험 -보험관계법령등 -2쪽",2,,2025-08-23 21:17:14,2025-08-23 21:17:14
9,보험중개사,손해보험,ABAA-09,20,관계법령,,,9,A,"통신수단을이용한모집·철회및해지등에관한설명 중타당하지않은것은? 
①보험계약자가 체결한계약을해지하고자 하는경우 에는통신수단을 이용할수있다 . 
②보험계약자가 체결한계약의내용을확인하고자 하는 경우에는 통신수단을 이용할수있다. 
③보험계약을 청약한자가청약의내용을확인·정정요청 하거나 청약을철회하고자 하는경우에는 통신수단의 이용은허용되지 않고,직접내방해야만 가능하다 . 
④통신수단을 이용한청약철회등을하는방법에관하여 필요한사항은대통령령으로 정한다 .",3,,2025-08-23 21:17:14,2025-08-23 21:17:14
10,보험중개사,손해보험,ABAA-10,20,관계법령,,,10,A,"적합성의원칙에관한설명으로옳지않은것은? 
①보험회사는 일반보험계약자가 보험계약을 체결하기 전에면담등을통하여보험계약자의 재산상황 등을 파악하고 일반보험계약자의 서명등의방법으로 확인을 받아유지·관리하여야 한다 . 
②보험회사는 재산상황 등에비추어일반보험계약자에게 적합하지 아니하다고 인정되는 보험계약의 체결을 권유해서는 아니된다 . 
③원본보장형 변액보험계약에 대해서적용된다 . 
④보험회사는 보험계약자로부터 확인받은 내용을보험 계약체결이후종료일부터 5년간유지⋅관리하여야 한다.",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
11,보험중개사,손해보험,ABAA-11,20,관계법령,,,11,A,"다음은보험회사의자산운용에대한금지또는제한에 관한기술이다 .옳지않은것은? 
①해당보험회사의 주식을사도록하기위한대출은금지 된다. 
②정치자금의 대출은금지된다 . 
③상품이나 유가증권에 대한투기를목적으로 하는자금의 대출은금지된다 . 
④해당보험회사의 임직원에 대한보험약관에 따른대출은 금지된다 .",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
12,보험중개사,손해보험,ABAA-12,20,관계법령,,,12,A,"보험회사의특별계정자산과관련하여타당하지않은것은? 
①보험회사는 보험업법 제108조에규정된보험계약별로 특별계정을 각각설정하여 운용할수있다 . 
②보험회사는 특별계정에 속하는이익을그계정상의 보험계약자에게 분배할수있다 . 
③보험회사는 특별계정의 자산으로 취득한주식에대하 여는의결권행사를절대적으로 금지하고 있다. 
④보험회사는 퇴직보험계약에 대하여설정된특별계정의 부담으로 차입할수없는것이원칙이다 .",3,,2025-08-23 21:17:14,2025-08-23 21:17:14
13,보험중개사,손해보험,ABAA-13,20,관계법령,,,13,A,"다음은보험회사의재무제표등의제출에관한기술이다 . 괄호안에들어갈옳은단어만을모아놓은것은 ? 보험회사는 매년대통령령으로 정하는날에그장부를 폐쇄하여야 하고장부를폐쇄한날부터 (ㄱ)이내에 금융위원회가 정하는바에따라재무제표 (부속명세서 를포함한다 )및(ㄴ)를금융위원회에 제출하여야 한 다. 
①ㄱ:2주,ㄴ:대차대조표 
②ㄱ:1개월 ,ㄴ:회계장부 
③ㄱ:2개월 ,ㄴ:결산서 
④ㄱ:3개월 ,ㄴ:사업보고서",4,,2025-08-23 21:17:14,2025-08-23 21:17:14
14,보험중개사,손해보험,ABAA-14,20,관계법령,,,14,A,"보험계약의이전에관한설명으로옳지않은것은? 
①보험계약을 이전하려는 보험회사는 주주총회가 이전을 결의한날부터 2주이내에각보험회사의 손익계산서를 공고하여야 한다. 
②정해진기간에이의를제기한보험계약자가 이전될 보험계약자 총수의 10분의 1을초과하는 경우에는 보험계약을 이전하지 못한다 . 
③보험계약을 이전한보험회사는 7일이내에그취지를 공고하여야 한다 . 
④보험계약 이전의결의를한후이전할보험계약에 관하여발생한수지(收支)는이전을받은보험회사에 귀속된다 .",1,,2025-08-23 21:17:14,2025-08-23 21:17:14
15,보험중개사,손해보험,ABAA-15,20,관계법령,,,15,A,"다음은보험협회에대한설명이다 .옳지않은것은무엇 인가? 
①보험회사는 보험업의 발전에기여하기 위하여보험 협회를설립할수있다 . 
②보험협회는 법인으로 한다 . 
③보험협회의 설립은보험계약법에 설립근거를 두고있다. 
④보험협회는 정부로부터 위탁받은 업무를할수있다.",3,,2025-08-23 21:17:14,2025-08-23 21:17:14
